Название,Жанр,Режиссер,Страна,Год,IMDb
Префонтейн (фильм),"драма, фильм-биография",Стив Джеймс,США,1997,ID 0119937
"Претендент (фильм, 2000)","триллер, драма, боевик",Род Лури,США,2000,ID 0208874
Преступный путь,фильм нуар,Роберт Флори,США,1949,ID 0041269
"Претендент (фильм, 1947)",фильм нуар,В. Ли Уайлдер,США,1947,ID 0039730
Преступница Эмили,"криминальный фильм, драматический фильм, фильм-триллер",Джон Паттон Форд,США,2022,ID 15255876
Преступный квест,"боевик, научная фантастика, триллер",Эдвард Дрэйк,США,2021,ID 13265876
Преступный закон,триллер,Мартин Кэмпбелл,США,1988,ID 0097125
Преступники в ночи,"криминальный фильм, триллер, боевик",Клод Барроа,Франция,1980,ID 0165100
Преступник Джонни Блэк,"боевик, комедия, вестерн",Майкл Джей Уайт,США,2023,ID 8667828
Преступник и адвокаты,драма,Юнус Юсупов,СССР,1981,ID 2107760
"Преступник (фильм, 2016)",триллер,Ариэль Вромен,США,2016,ID 3014866
Преступница,фильм ужасов,Дженнифер Ридер,"США, Франция",,ID 24082454
"Преступник (фильм, 2012)",криминальный фильм,Рон Скальпелло,Великобритания,8 августа 2012 года,ID 1821427
Преступность на улицах,"фильм нуар, социальная драма",Дональд Сигел,США,1956,ID 0049107
Преступления на почве страсти,"эротический триллер, драма",Кен Рассел,США,1984,ID 0087100
Преступления чёрного кота,джалло,Серджо Пасторе,Италия,1972,ID 0069253
"Преступная любовь (фильм, 1992)","драма, триллер",Лиззи Борден,США,1992,ID 0102340
Преступная страсть,"детектив, триллер",Донна Дейч,США,1994,ID 0109503
Преступления и проступки,"драма, комедия",Вуди Аллен,США,1989,ID 0097123
"Преступник (фильм, 2008)","триллер, драма",Рик Роман Во,США,2008,ID 1117385
"Преступления будущего (фильм, 1970)",научная фантастика,Дэвид Кроненберг,Канада,1970,ID 0065591
Преступление страсти,фильм нуар,Герд Освальд,США,1957,ID 0050271
Преступление тебе с рук не сойдёт,"криминальная мелодрама, гангстерский фильм",Льюис Сейлер,США,1939,ID 0032153
